단어,빈도
무심코,11
그럴,11
다르게,11
리드미컬하며,11
띵곡들,11
급,11
믹스,11
준형,11
근사해져,11
게,11
짐,11
쉬워,11
죠지,11
깡,11
세번,11
데이먼,11
숲,11
기타,11
찬,11
심,11
변태,11
있었으면,11
스,11
척,11
놨는데,11
보이스,11
본능,11
둘,11
뿌셔,11
겨우,11
수면제,11
빡샌,11
김뮤,11
출근길,11
질주,11
존나,11
평소,11
다양한,11
엄지,11
바보,11
뉴에이지,11
전부,11
기리보이,11
그랬음,11
반해서,11
그동안,11
발동,11
주섬주섬,10
있더라,10
사실,10
마냥,10
최대한,10
연수,10
장면,10
있다는,10
모로,10
깊어가는,10
심히,10
드림,10
길어,10
혼,10
즐겁게,10
샹치,10
다가,10
성진,10
생,10
만족,10
짝사랑,10
대하,10
오묘한,10
가득하길,10
설렘으로,10
당장,10
있어주었죠,10
멋있게,10
좋아해,10
오,10
아쉬워서,10
밀어내기,10
이나,10
랄,10
무슨,10
감미로운,10
태식,10
순서,10
노랠,10
어땠어,10
감정,10
무한,10
벽난로,10
거듭,10
단단히,10
다음,10
미완,10
어바웃타임,10
그러길,10
딧,10
락스타,10
있을래,10
꼬실려,10
결과,10
나머지,10
몽,10
아까운,9
다운,9
분업,9
플라워,9
걸음걸이,9
스웨,9
저절로,9
하디,9
오늘밤,9
뭉게뭉게,9
프라,9
시온,9
블루,9
장건,9
쌘,9
안전벨트,9
좋으니까,9
눈동자,9
섹시함은,9
신나게,9
유니크,8
호프,8
흔한,8
았었는데,8
힘들어하는,8
있는데,8
뮤지션,8
서툴지만,7
없었으면,7
토리,6
빨래,6
마블,5
히어로,5
주노,5
음원,5
젊은,3
현재,3
어떨까,3
외로움,3
나쁘지만은,3
로럴,3
페스티벌,2
다니엘,1
없음,1
차분한,1
시저,1
플랫,1
드립커피,1
성큼,1
잡고,1
베이커,1
지난,1
상점,1
서점,1
크나큰,1
맛있는,1
걷기,1
밤그,1
서교동,1
할아버지,1
헤이즈,1
무더웠던,1
버거울지라도,1
