이미지,제목,설명,가수,곡명,이미지객체,이미지색감,색감비율
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,yaeow,still that kid (deep down),person,"[18, 50, 83]",13.556640625
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,yaeow,everything to me,person,"[7, 10, 13]",53.58734809027778
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,yaeow,everything to me,person,"[83, 138, 161]",32.854709201388886
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,yaeow,everything to me,person,"[18, 50, 83]",13.557942708333334
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"d4vd, Laufey",This Is How It Feels,person,"[7, 10, 13]",53.58734809027778
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"d4vd, Laufey",This Is How It Feels,person,"[83, 138, 161]",32.854709201388886
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,"d4vd, Laufey",This Is How It Feels,person,"[18, 50, 83]",13.557942708333334
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Chris James,The Green (Acoustic),person,"[7, 10, 13]",53.58734809027778
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Chris James,The Green (Acoustic),person,"[83, 138, 161]",32.854709201388886
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Chris James,The Green (Acoustic),person,"[18, 50, 83]",13.557942708333334
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,rhianne,my love mine all mine,person,"[7, 10, 13]",53.589518229166664
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,rhianne,my love mine all mine,person,"[83, 138, 161]",32.853841145833336
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,rhianne,my love mine all mine,person,"[18, 50, 83]",13.556640625
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,yaeow,Stuck Here Without You,person,"[7, 10, 13]",53.58734809027778
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,yaeow,Stuck Here Without You,person,"[83, 138, 161]",32.854709201388886
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,yaeow,Stuck Here Without You,person,"[18, 50, 83]",13.557942708333334
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Etham,What I Feel Is Love,person,"[7, 10, 13]",53.58973524305556
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Etham,What I Feel Is Love,person,"[83, 138, 161]",32.85340711805556
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Etham,What I Feel Is Love,person,"[18, 50, 83]",13.55685763888889
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Avery Lynch,all i need (the distance song),person,"[7, 10, 13]",53.58973524305556
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Avery Lynch,all i need (the distance song),person,"[83, 138, 161]",32.853841145833336
https://img.youtube.com/vi/Cnh7exHmJ_U/maxresdefault.jpg,사랑이 머문 자리에,#팝송추천 #플레이리스트 #노래추천 우리가 함께했던 수많은 공간에는 아직도 그때의 사랑이 머물러 있을까,Avery Lynch,all i need (the distance song),person,"[18, 50, 83]",13.556423611111112
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Matt Maltese,Everyone Adores You (quiet),person,"[41, 25, 8]",56.45572916666667
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Matt Maltese,Everyone Adores You (quiet),person,"[2, 2, 3]",40.26779513888889
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,Matt Maltese,Everyone Adores You (quiet),person,"[73, 82, 151]",3.2764756944444446
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,92914,Starlight,person,"[41, 25, 8]",56.45551215277778
https://img.youtube.com/vi/cWdAB1rCt_k/maxresdefault.jpg,너로 점철된 밤,#팝송추천 #플레이리스트 #노래추천 그런 밤,92914,Starlight,person,"[2, 2, 3]",40.26790364583333
